Resource Provider,Resource Type,Operation Name,Operation Display Name,Operation Description,Data Action
Microsoft.AAD,,Microsoft.AAD/register/action,Subscription Registration Action,Subscription Registration Action,false
Microsoft.AAD,,Microsoft.AAD/unregister/action,Unregister Domain Service,Unregister Domain Service,false
Microsoft.AAD,,Microsoft.AAD/register/action,Register Domain Service,Register Domain Service,false
Microsoft.AAD,locations/operationresults,Microsoft.AAD/locations/operationresults/read,null,null,false
Microsoft.AAD,Operations,Microsoft.AAD/Operations/read,null,null,false
Microsoft.AAD,domainServices,Microsoft.AAD/domainServices/read,Read Domain Service,Read Domain Services,false
Microsoft.AAD,domainServices,Microsoft.AAD/domainServices/write,Write Domain Service,Write Domain Service,false
Microsoft.AAD,domainServices,Microsoft.AAD/domainServices/delete,Delete Domain Service,Delete Domain Service,false
Microsoft.AAD,domainServices/OutboundNetworkDependenciesEndpoints,Microsoft.AAD/domainServices/OutboundNetworkDependenciesEndpoints/read,Get the network endpoints of all outbound dependencies,Get the network endpoints of all outbound dependencies,false
Microsoft.AAD,domainServices/providers/Microsoft.Insights/diagnosticSettings,Microsoft.AAD/domainServices/providers/Microsoft.Insights/diagnosticSettings/read,Read diagnostic setting for Domain Service,Gets the diagnostic setting for Domain Service,false
Microsoft.AAD,domainServices/providers/Microsoft.Insights/diagnosticSettings,Microsoft.AAD/domainServices/providers/Microsoft.Insights/diagnosticSettings/write,Write diagnostic setting for the Domain Service resource,Creates or updates the diagnostic setting for the Domain Service resource,false
Microsoft.AAD,domainServices/providers/Microsoft.Insights/logDefinitions,Microsoft.AAD/domainServices/providers/Microsoft.Insights/logDefinitions/read,Gets the available logs for Domain Service,Gets the available logs for Domain Service,false
Microsoft.AAD,domainServices/providers/Microsoft.Insights/metricDefinitions,Microsoft.AAD/domainServices/providers/Microsoft.Insights/metricDefinitions/read,Metrics for Domain Service,Gets metrics for Domain Service,false
Microsoft.AAD,domainServices/oucontainer,Microsoft.AAD/domainServices/oucontainer/read,Read Ou Container,Read Ou Containers,false
Microsoft.AAD,domainServices/oucontainer,Microsoft.AAD/domainServices/oucontainer/write,Write Ou Container,Write Ou Container,false
Microsoft.AAD,domainServices/oucontainer,Microsoft.AAD/domainServices/oucontainer/delete,Delete Ou Container,Delete Ou Container,false
microsoft.aadiam,azureADMetrics,microsoft.aadiam/azureADMetrics/read,Azure AD Metrics Definition read,Read Azure AD Metrics Definition,false
microsoft.aadiam,azureADMetrics,microsoft.aadiam/azureADMetrics/write,Azure AD Metrics Definition write,Create and Update Azure AD Metrics Definition,false
microsoft.aadiam,azureADMetrics,microsoft.aadiam/azureADMetrics/delete,Azure AD Metrics Definition delete,Delete Azure AD Metrics Definition,false
